name,dogFriendly,groceryStores,neighborsFriendly,parkingEasy,yard,communityEvents,sidewalks,walkNight,fiveYears,kidsOutside,car,restaurants,streets,holiday,quiet,wildlife
neighborhood1,0.59,0.44,0.26,0.41,0.89,0.33,0.50,0.27,0.15,0.07,0.31,1.00,0.40,0.71,0.59,0.57
neighborhood2,0.39,0.02,0.46,0.26,0.48,0.17,0.54,0.38,0.57,0.13,0.55,0.61,0.77,0.55,0.26,0.41
neighborhood3,0.80,0.77,0.86,0.33,0.22,0.76,0.72,0.42,0.14,0.76,0.27,0.39,0.88,0.72,0.74,0.83
neighborhood4,0.72,0.04,0.40,0.91,0.36,0.09,0.31,0.60,0.52,0.00,0.04,0.84,0.94,0.16,0.73,0.15
neighborhood5,0.48,0.41,0.05,0.18,0.04,0.43,0.13,0.58,0.95,0.64,0.91,0.09,0.18,0.16,0.21,0.82
neighborhood6,0.53,0.37,0.30,0.38,0.05,0.98,0.26,0.04,0.01,1.00,0.07,0.19,0.06,0.65,0.27,0.13
neighborhood7,0.08,0.96,0.45,0.60,0.59,0.89,0.58,0.37,0.52,0.81,0.24,0.33,0.54,0.91,0.18,0.17
neighborhood8,0.21,0.70,0.57,0.03,0.59,0.69,0.44,0.03,0.88,0.27,0.92,0.93,0.70,0.97,0.74,0.26
neighborhood9,0.61,0.90,0.41,0.26,0.14,0.68,0.41,0.89,0.29,0.71,0.70,0.57,0.21,0.33,0.55,0.95
neighborhood10,0.88,0.93,0.56,0.72,0.20,0.91,0.93,0.59,0.31,0.17,0.66,0.08,0.41,0.42,0.29,0.08
neighborhood11,0.44,0.59,0.34,0.79,0.03,0.90,0.93,0.54,0.99,0.00,0.19,0.15,0.58,0.54,0.59,0.65
neighborhood12,0.61,0.95,0.14,0.10,0.61,0.13,0.90,0.57,0.60,0.82,0.58,0.26,0.79,0.18,0.25,0.43
neighborhood13,0.41,0.07,0.80,0.20,0.74,0.57,0.38,0.73,0.77,0.79,0.10,0.49,0.66,0.47,0.52,0.68
neighborhood14,0.59,0.16,0.63,0.31,0.68,0.76,0.95,0.53,0.31,0.93,0.62,0.86,0.92,0.27,0.26,0.86
neighborhood15,0.01,0.54,0.89,0.86,0.70,0.87,0.96,0.34,0.33,0.06,0.94,0.52,0.11,0.25,0.96,0.68
neighborhood16,0.51,0.07,0.72,0.56,0.64,0.66,0.08,0.72,0.10,0.56,0.44,0.94,0.74,0.36,0.44,0.75
neighborhood17,0.78,0.61,0.04,0.37,0.51,0.46,0.16,0.71,0.53,0.12,0.49,0.21,0.82,0.01,0.07,0.47
neighborhood18,0.75,0.84,0.76,0.86,0.65,0.00,0.13,0.77,0.91,0.20,0.63,0.47,0.70,0.31,0.04,0.25
neighborhood19,0.72,0.73,0.63,0.59,0.72,0.73,0.35,0.42,1.00,0.80,0.07,0.86,0.41,0.21,0.64,0.17
neighborhood20,0.28,0.98,0.76,0.59,0.55,0.87,0.57,0.86,0.80,0.44,0.97,0.93,0.46,0.01,0.91,0.60
neighborhood21,0.82,0.98,0.82,0.27,0.04,0.01,0.84,0.10,0.85,0.60,0.69,0.92,0.25,0.34,0.99,0.37
neighborhood22,0.57,0.82,0.36,0.40,0.88,0.22,0.59,0.82,0.97,0.48,0.08,0.04,0.99,0.00,0.75,0.75
neighborhood23,0.93,0.97,0.14,0.57,0.81,0.75,0.29,0.02,0.08,0.40,0.51,0.03,0.79,0.33,0.84,0.74
neighborhood24,0.00,0.45,0.83,0.96,0.93,0.61,0.00,0.48,0.71,0.75,0.45,0.95,0.20,0.79,0.75,0.51
neighborhood25,0.43,0.83,0.23,0.64,0.34,0.76,0.74,0.30,0.21,0.48,0.93,0.53,0.95,0.47,0.38,0.78
neighborhood26,0.29,0.23,0.71,0.87,0.10,0.26,0.50,0.15,0.33,0.21,0.43,0.62,0.77,0.82,0.35,0.27
neighborhood27,0.62,0.68,0.28,0.99,0.71,0.12,0.98,0.26,1.00,0.11,0.96,0.10,0.65,1.00,0.19,0.41
neighborhood28,0.54,0.20,0.44,0.87,0.00,0.51,0.10,0.66,0.75,0.88,0.96,0.45,0.46,0.15,0.42,0.10
